country,origin_country,shipment mode,product group,weight (kilograms),line item quantity,distance_km,actual_freight_usd,predicted_freight_usd,gap_pct,dollars_over,anomaly_flag
Kenya,China,Air,HRDT,18580.0,20000,7894.281630259921,241407.27,65631.0,268.0,175776.0,True
Nigeria,India,Air Charter,ARV,87076.0,320300,7611.3286521920445,194623.44,69146.0,181.0,125477.0,True
Rwanda,India,Ocean,ARV,6853.0,23240,5901.606599964873,81246.12,15108.0,438.0,66138.0,True
Rwanda,India,Air,ARV,6701.0,83400,5901.606599964873,87692.85,22299.0,293.0,65394.0,True
Nigeria,Unknown,Air,HRDT,1235.0,2744,6987.027224085871,88176.17,23293.0,279.0,64883.0,True
Rwanda,India,Air,ARV,5364.0,44131,5901.606599964873,81670.57,20698.0,295.0,60973.0,True
Rwanda,India,Air,ARV,12605.0,33792,5901.606599964873,72991.45,24606.0,197.0,48385.0,True
Rwanda,India,Ocean,ARV,4426.0,39330,5901.606599964873,66916.5,19892.0,236.0,47024.0,True
Ethiopia,China,Air,HRDT,13749.0,22497,7051.232952319537,152368.7,106920.0,43.0,45449.0,False
South Africa,India,Ocean,ARV,127.0,2452,8255.030415213043,47101.63,5299.0,789.0,41803.0,True
Rwanda,India,Air,ARV,7416.0,10000,5901.606599964873,64179.42,24861.0,158.0,39318.0,True
Haiti,India,Air,ARV,7100.0,36139,14614.836973515425,68243.0,30359.0,125.0,37884.0,True
Zambia,India,Truck,ARV,7140.0,25482,6727.714554318774,47532.09,9926.0,379.0,37606.0,True
Haiti,India,Air,ARV,7225.0,39312,14614.836973515425,69748.5,33223.0,110.0,36526.0,True
Nigeria,India,Air Charter,ARV,935.0,11605,7611.3286521920445,49199.75,15678.0,214.0,33522.0,True
Rwanda,India,Air,ARV,7278.0,54432,5901.606599964873,61925.7,30046.0,106.0,31880.0,True
Zimbabwe,India,Truck,ARV,12779.0,125000,6987.027224085871,41772.09,10984.0,280.0,30788.0,True
